Ticker,EPS Estimate,EPS Actual,GICS_SECTOR_NAME,,
7202 JT Equity,142.9142857,138.43,Consumer Discretionary,,
7203 JT Equity,747.9265217,741.36,Consumer Discretionary,,
7205 JT Equity,131.0661538,113.62,Industrials,,
7211 JT Equity,100.4478571,73.8,Consumer Discretionary,,
7240 JT Equity,197.33625,173.97,Consumer Discretionary,,
7259 JT Equity,330.2611765,342.67,Consumer Discretionary,,
7261 JT Equity,267.6595,224.85,Consumer Discretionary,,
7267 JT Equity,303.2714286,191.16,Consumer Discretionary,,
7269 JT Equity,262.9388889,234.98,Consumer Discretionary,,
7270 JT Equity,535.376,559.54,Consumer Discretionary,,
7272 JT Equity,175.5307143,180.84,Consumer Discretionary,,
7276 JT Equity,268.8981818,288.15,Consumer Discretionary,,
7282 JT Equity,177.3875,156.49,Consumer Discretionary,,
7309 JT Equity,537.8028571,549.76,Consumer Discretionary,,
7453 JT Equity,821.6122222,818.44,Consumer Discretionary,,
7459 JT Equity,124.12,135.89,Health Care,,
7532 JT Equity,158.189,157.76,Consumer Discretionary,,
7701 JT Equity,82.93285714,81.05,Information Technology,,
7731 JT Equity,61.875,75.55,Consumer Discretionary,,
7733 JT Equity,162.3846154,182.9,Health Care,,
7741 JT Equity,232.6825,225.45,Health Care,,
7751 JT Equity,148.9488889,137.95,Information Technology,,
7752 JT Equity,93.145,86.87,Information Technology,,
7779 JT Equity,-3.36,-3.53,Health Care,,
7832 JT Equity,145.271,157.43,Consumer Discretionary,,
7911 JT Equity,38.25,55.04,Industrials,,
7912 JT Equity,89.8,106.18,Industrials,,
7936 JT Equity,72.0325,82.01,Consumer Discretionary,,
7951 JT Equity,182.65875,168.9,Consumer Discretionary,,
7974 JT Equity,154.39,137.4,Information Technology,,
8 HK Equity,0.25,0.2679,Telecommunication Services,,
8001 JT Equity,207.6266667,152.14,Industrials,,
8002 JT Equity,35.09333333,35.88,Industrials,,
8015 JT Equity,-117.125,-54.8,Industrials,,
8028 JT Equity,233.5866667,187.13,Consumer Staples,,
8031 JT Equity,-39.81727273,-46.53,Industrials,,
8035 JT Equity,446.825,461.1,Information Technology,,
8036 JT Equity,255.4566667,261.68,Information Technology,,
8053 JT Equity,79.78625,59.73,Industrials,,
8058 JT Equity,-95.25555556,-93.68,Industrials,,
8113 JT Equity,69.00666667,74.29,Consumer Staples,,
8227 JT Equity,689.3683333,673.25,Consumer Discretionary,,
8233 JT Equity,66.74166667,67.88,Consumer Discretionary,,
8252 JT Equity,69.94857143,70.68,Consumer Discretionary,,
8253 JT Equity,173.845,147.37,Financials,,
8267 JT Equity,6.0825,7.19,Consumer Staples,,
8303 JT Equity,239.9100036,229.6,Financials,,
8304 JT Equity,371.3670055,372.9,Financials,,
8306 JT Equity,74.93,68.51,Financials,,
8308 JT Equity,72.02733333,75.73,Financials,,
8309 JT Equity,448.2278638,433.3,Financials,,
8316 JT Equity,557.1277778,472.99,Financials,,
8331 JT Equity,67.774,67.03,Financials,,
8354 JT Equity,52.27666667,51.75,Financials,,
8355 JT Equity,80.1375,77.79,Financials,,
8358 JT Equity,159.7044444,156.15,Financials,,
8359 JT Equity,58.94,59.85,Financials,,
8369 JT Equity,291.3875043,282.05,Financials,,
8410 JT Equity,21.155,20.75,Financials,,
8411 JT Equity,25.68823529,26.94,Financials,,
8418 JT Equity,127.85,132.43,Financials,,
8473 JT Equity,124.71,160.83,Financials,,
8570 JT Equity,167.2927273,180.09,Financials,,
8572 JT Equity,7.966666667,9.32,Financials,,
8591 JT Equity,202.3773333,198.73,Financials,,
8593 JT Equity,58.2,61.45,Financials,,
8601 JT Equity,68.47272727,68.25,Financials,,
8604 JT Equity,47.83,36.53,Financials,,
8630 JT Equity,371.0871429,394.21,Financials,,
8697 JT Equity,82.01,81.74,Financials,,
8725 JT Equity,273.5757143,298.72,Financials,,
8729 JT Equity,110.655625,99.67,Financials,,
8750 JT Equity,149.4473333,150.53,Financials,,
8766 JT Equity,308.8271429,337.27,Financials,,
8795 JT Equity,124.8646667,111,Financials,,
880 HK Equity,0.365,0.411,Consumer Discretionary,,
9001 JT Equity,120.4250018,127.7,Industrials,,
9005 JT Equity,80.8325,89.62,Industrials,,
9006 JT Equity,-12.10666667,-10.94,Industrials,,
9007 JT Equity,77.79857143,76.28,Industrials,,
9008 JT Equity,170.8440025,159.45,Industrials,,
9009 JT Equity,182.975,183.1,Industrials,,
9020 JT Equity,648.533125,625.82,Industrials,,
9021 JT Equity,498.6721429,443.53,Industrials,,
9022 JT Equity,1686.636429,1714.64,Industrials,,
9024 JT Equity,141.1214286,167.89,Industrials,,
9041 JT Equity,145.2400022,152.3,Industrials,,
9042 JT Equity,270.5266707,277.9,Industrials,,
9045 JT Equity,196.7500029,199.75,Industrials,,
9048 JT Equity,116.0000017,133.4,Industrials,,
9062 JT Equity,342.7930051,356.1,Industrials,,
9064 JT Equity,97.90214286,96.45,Industrials,,
9101 JT Equity,144.1900021,107.5,Industrials,,
9104 JT Equity,-1474.356386,-1425,Industrials,,
9201 JT Equity,492.825,481.29,Industrials,,
9202 JT Equity,189.7157171,223.6,Industrials,,
9364 JT Equity,126.37,126.46,Industrials,,
9432 JT Equity,333.644375,350.34,Telecommunication Services,,
9433 JT Equity,203.432,197.73,Telecommunication Services,,
9435 JT Equity,590.27,485.48,Consumer Discretionary,,
9437 JT Equity,136.9738889,141.3,Telecommunication Services,,
9501 JT Equity,190.19,87.86,Utilities,,
9502 JT Equity,205.0372727,224.15,Utilities,,
9503 JT Equity,162.7481818,157.59,Utilities,,
9504 JT Equity,55.53166667,74.83,Utilities,,
9506 JT Equity,166.5022222,195.01,Utilities,,
9508 JT Equity,137.65,155.17,Utilities,,
9513 JT Equity,242.2718182,216.99,Utilities,,
9531 JT Equity,258.4300039,233.4,Utilities,,
9532 JT Equity,212.3550032,202.65,Utilities,,
9533 JT Equity,376.4425056,397.05,Utilities,,
9602 JT Equity,139.6525,140.22,Consumer Discretionary,,
9613 JT Equity,43.15833333,45.186,Information Technology,,
9706 JT Equity,117.325,109.2,Industrials,,
9735 JT Equity,379.2457143,352.97,Industrials,,
9766 JT Equity,83.49,76.44,Information Technology,,
9783 JT Equity,-4.958333333,-85.37,Consumer Discretionary,,
9831 JT Equity,38.40363636,38.22,Consumer Discretionary,,
9843 JT Equity,417.6972727,425.1,Consumer Discretionary,,
9962 JT Equity,60.3625,61.65,Industrials,,
9983 JT Equity,518.456875,471.31,Consumer Discretionary,,
9984 JT Equity,472.0966667,402.49,Telecommunication Services,,
9987 JT Equity,259.9666667,292.13,Health Care,,
9989 JT Equity,176.4475,178.43,Consumer Staples,,
A UN Equity,1.422,1.42,Health Care,,
AAL LN Equity,0.374,1.24,Materials,,
AAL UW Equity,5.24,4.85,Industrials,,
AAP UN Equity,6.276,6.22,Consumer Discretionary,,
AAPL UW Equity,8.274186047,8.35,Information Technology,,
ABBN SE Equity,0.931052632,0.88,Industrials,,
ABBV UN Equity,3.758,3.65,Health Care,,
ABC UN Equity,6.105,6.73,Health Care,,
ABE SQ Equity,0.909411765,0.875541,Industrials,,
ABF LN Equity,1.015711111,1.034,Consumer Staples,,
ABI BB Equity,1.342727273,0.72,Consumer Staples,,
ABN NA Equity,1.890666667,1.920213,Financials,,
ABT UN Equity,1.662857143,0.94,Health Care,,
ABX CT Equity,0.416666667,0.56,Materials,,
AC FP Equity,1.250769231,0.88,Consumer Discretionary,,
ACA FP Equity,1.27,1.12,Financials,,
ACGL UW Equity,5.945,5.5,Financials,,
ACN UN Equity,6.07625,6.58,Information Technology,,
ACO/X CT Equity,3.04,2.97,Utilities,,
ACS SQ Equity,2.63625,2.386754,Industrials,,
AD NA Equity,0.913333333,0.81,Consumer Staples,,
ADBE UW Equity,2.156,2.35,Information Technology,,
ADEN SE Equity,4.035,4.24,Industrials,,
ADI UW Equity,2.661,2.79,Information Technology,,
ADM LN Equity,0.797,0.787,Financials,,
ADM UN Equity,2.206,2.18,Consumer Staples,,
ADP FP Equity,4.339230769,4.4,Industrials,,
ADP UW Equity,3.292,3.27,Information Technology,,
ADS GY Equity,4.9475,5.08,Consumer Discretionary,,
ADS UN Equity,11.90777778,7.37,Information Technology,,
ADSK UW Equity,-1.445,-1.46,Information Technology,,
AEE UN Equity,2.693333333,2.69,Utilities,,
AEM CT Equity,0.5,0.71,Materials,,
AENA SQ Equity,7.71,7.76,Industrials,,
AEP UN Equity,1.053333333,1.24,Utilities,,
AER UN Equity,5.05875,5.64,Industrials,,
AES UN Equity,0.65,-1.72,Utilities,,
AET UN Equity,6.946,6.46,Health Care,,
AFG UN Equity,4.605,7.47,Financials,,
AFL UN Equity,6.05,6.46,Financials,,
